Year ,Month ,RATED KW,VOLTS ,RATED AMP,TESTING AMP,TEMPERATURE,HUMIDITY ,Fault 
2016,October,0.06,313,0.27,0.09,0.10,0.05,Bearing Damage
2016,October,0.08,210,0.36,0.21,0.18,0.09,Insulation Weak
2016,November,0.045,263,0.64,0.21,0.58,0.30,Insulation Weak
2016,November,0.55,269,1.6,1.6,3.62,1.86,Phase Missing
2016,November,0.06,348,0.27,0.09,0.10,0.05,Bearing Damage
2016,November,0.2,312,0.64,0.27,0.58,0.30,Over load
2016,November,0.08,271,0.36,0.21,0.18,0.09,Insulation Weak
2016,November,0.06,346,0.27,0.15,0.10,0.05,Over load
2016,November,0.12,341,0.8,0.39,0.91,0.46,Insulation Weak
2016,November,0.08,228,0.36,0.21,0.18,0.09,Insulation Weak
2016,November,3,385,6.5,3.2,59.75,30.62,Water Penetrate 
2016,November,3,214,6.5,3.2,59.75,30.62,Water Penetrate 
2016,November,0.2,251,0.64,0.29,0.58,0.30,Over load
2016,November,0.08,218,0.36,0.21,0.18,0.09,Insulation Weak
2016,November,7.5,232,14.1,6.4,281.16,144.08,Over load
2016,November,2.2,292,4.5,2,28.64,14.68,Phase Missing
2016,November,,333,,0.4,0.00,0.00,Over load
2016,November,,255,,0.3,0.00,0.00,Over load
2016,December,0.4,239,3,1.3,12.73,6.52,Over load
2016,December,0.4,260,2.9,0.8,11.89,6.09,Over load
2016,December,0.75,375,2.1,1.2,6.24,3.20,Over load
2016,December,2.2,362,4.6,0.5,29.92,15.34,Over load
2016,December,0.75,283,7.1,3.6,71.29,36.53,Insulation Weak
2016,December,1.5,370,4.1,3.1,23.77,12.18,Water Penetrate 
2016,December,,254,,0.6,0.00,0.00,Phase Missing
2016,December,0.55,322,1.6,1.1,3.62,1.86,Phase Missing
2016,December,1.1,400,2.8,2.4,11.09,5.68,Phase Missing
2016,December,,241,,0.3,0.00,0.00,Over load
2016,December,3,370,6.55,3.1,60.67,31.09,Water Penetrate 
2016,December,0.37,268,2.2,0.8,6.84,3.51,Water Penetrate 
2017,January,18.5,248,34.5,1.06,1683.27,862.60,Insulation Weak
2017,January,2.2,265,5.5,2,42.78,21.92,Over Load
2017,January,3,321,6.55,3.3,60.67,31.09,Water Penetrate 
2017,January,3,389,6.55,3.3,60.67,31.09,Water Penetrate 
2017,January,0.08,292,0.36,0.21,0.18,0.09,Insulation Weak
2017,January,0.08,344,0.36,0.21,0.18,0.09,Insulation Weak
2017,January,0.08,297,0.36,0.21,0.18,0.09,Insulation Weak
2017,January,0.08,294,0.36,0.21,0.18,0.09,Bearing Jam
2017,January,0.08,280,0.36,0.21,0.18,0.09,Insulation Weak
2017,January,,314,,2.3,0.00,0.00,Water Penetrate 
2017,January,0.08,400,0.36,0.21,0.18,0.09,Insulation Weak
2017,January,0.08,225,0.36,0.21,0.18,0.09,Bearing Jam
2017,January,0.08,267,0.36,0.21,0.18,0.09,Bearing Jam
2017,January,1.5,227,3.4,1.3,16.35,8.38,Bearing Jam
2017,January,3.7,322,8.1,3.6,92.79,47.55,Phase Missing
2017,January,0.75,331,1.6,0.8,3.62,1.86,Over Load
2017,January,0.6,321,0.27,1.6,0.10,0.05,Insulation Weak
2017,January,0.55,369,1.6,1,3.62,1.86,Over Load
2017,January,1.75,368,3.9,2.7,21.51,11.02,Water Penetrate 
2017,January,0.12,381,0.56,0.35,0.44,0.23,Insulation Weak
2017,January,4,207,8,3.7,90.51,46.38,Over Load
2017,January,0.37,246,1.2,0.8,2.04,1.04,Water Penetrate 
2017,February,0.55,344,1.55,0.8,3.40,1.74,Over Load
2017,February,1.75,350,10,3.5,141.42,72.47,Water Penetrate 
2017,February,3,346,6.55,3.1,60.67,31.09,Water Penetrate 
2017,February,0.08,297,0.36,0.21,0.18,0.09,Insulation Weak
2017,February,0.15,222,0.68,0.4,0.65,0.34,Over Load
2017,February,,264,,2,0.00,0.00,Over Load
2017,February,0.12,272,0.56,0.3,0.44,0.23,Insulation Weak
2017,February,0.18,254,0.7,0.5,0.69,0.36,Insulation Weak
2017,February,0.12,288,0.56,0.28,0.44,0.23,Over Load
2017,February,0.15,225,0.68,0.39,0.65,0.34,Over Load
2017,February,0.15,219,0.68,0.4,0.65,0.34,Over load
2017,February,0.08,315,0.36,0.21,0.18,0.09,Insulation Weak
2017,February,0.08,377,0.36,0.21,0.18,0.09,Over Load
2017,February,0.4,397,3,1.2,12.73,6.52,Bearing Damage
2017,February,2.2,289,4.6,2.4,29.92,15.34,Water Penetrate 
2017,March,3,276,6.55,3.1,60.67,31.09,Water Penetrate 
2017,March,0.08,352,0.36,0.21,0.18,0.09,Insulation Weak
2017,March,0.08,291,0.36,0.21,0.18,0.09,Insulation Weak
2017,March,0.75,277,2.1,0.7,6.24,3.20,ovre Load
2017,March,0.2,319,0.6,0.2,0.51,0.26,ovre Load
2017,March,,213,,0.7,0.00,0.00,Insulation Weak
2017,March,3.5,320,5,3,35.36,18.12,ovre Load
2017,March,,305,,0.1,0.00,0.00,Insulation Weak
2017,March,0.55,208,1.6,1.6,3.62,1.86,Phase Missing
2017,March,1.5,344,2.6,0.7,9.56,4.90,Water Penetrate 
2017,March,0.12,343,0.56,0.12,0.44,0.23,Insulation Weak
2017,March,3,295,6.55,3.1,60.67,31.09,Water Penetrate 
2017,March,,370,,0.1,0.00,0.00,Insulation Weak
2017,March,1.5,290,12,4,203.65,104.36,Bearing Damage
2017,March,0.37,272,1.2,0.8,2.04,1.04,Water Penetrate 
2017,March,1.1,364,2.8,2,11.09,5.68,Phase Missing
2017,March,0.75,318,2.1,0.7,6.24,3.20,ovre Load
2017,March,3,359,6.55,3.1,60.67,31.09,Water Penetrate 
2017,April,0.08,337,0.36,0.21,0.18,0.09,Insulation Weak
2017,April,7.5,260,14.4,5.5,293.25,150.28,Insulation Weak
2017,April,0.4,204,3,1.2,12.73,6.52,Bearing Damage
2017,April,0.9,322,0.61,0.2,0.53,0.27,Bearing Jam
2017,April,0.12,318,0.56,0.28,0.44,0.23,Insulation Weak
2017,April,0.08,337,0.36,0.21,0.18,0.09,Insulation Weak
2017,April,0.5,234,3.4,0.6,16.35,8.38,over Load
2017,April,0.12,386,0.56,0.28,0.44,0.23,Insulation Weak
2017,April,0.3,367,3,0.45,12.73,6.52,over Load
2017,April,0.08,277,0.36,0.21,0.18,0.09,Insulation Weak
2017,April,,265,,0.8,0.00,0.00,Insulation Weak
2017,April,0.06,210,0.27,0.04,0.10,0.05,Bearing Damage
2017,April,,320,,0.1,0.00,0.00,Insulation Weak
2017,April,,316,,1.3,0.00,0.00,over Load
2017,April,0.06,345,0.27,0.02,0.10,0.05,Bearing Jam
2017,April,,219,,1.3,0.00,0.00,over Load
2017,May,3,348,6.55,3.1,60.67,31.09,Bearing Damage
2017,May,7.5,371,14.4,5.5,293.25,150.28,over Load
2017,May,0.06,235,0.27,0.04,0.10,0.05,Insulation Weak
2017,May,0.2,284,0.64,0.27,0.58,0.30,Over load
2017,May,1.1,302,2.8,2,11.09,5.68,Bearing Damage
2017,May,3,265,6.55,3.1,60.67,31.09,Bearing Damage
2017,May,0.06,355,0.27,0.04,0.10,0.05,Insulation Weak
2017,May,0.06,322,0.27,0.04,0.10,0.05,Insulation Weak
2017,May,0.12,273,0.54,0.2,0.41,0.21,Bearing Jam
2017,May,,391,,0.4,0.00,0.00,Bush Jam
2017,May,0.12,358,0.54,0.2,0.41,0.21,Insulation Weak
2017,May,0.4,211,3,1.2,12.73,6.52,Bearing Damage
2017,May,11,206,22.3,9.1,703.27,360.40,Bearing Damage
2017,May,,256,,0.3,0.00,0.00,Insulation Weak
2017,May,0.4,351,3,1.2,12.73,6.52,Bearing Damage
2017,May,7.5,360,13.3,6.6,250.16,128.20,Insulation Weak
2017,June,0.12,290,0.54,0.2,0.41,0.21,Insulation Weak
2017,June,0.06,384,0.3,0.1,0.13,0.07,Insulation Weak
2017,June,,337,,0.6,0.00,0.00,Insulation Weak
2017,June,0.55,381,1.47,0.9,3.06,1.57,Bearing Damage
2017,June,3,259,6.55,3.2,60.67,31.09,Insulation Weak
2017,June,3,243,6.8,4.5,65.39,33.51,Bearing Damage
2017,June,0.37,339,1.2,0.8,2.04,1.04,Water Penetrate 
2017,June,11,272,22.3,9.5,703.27,360.40,Phase Missing
2017,June,11,230,22.3,9.5,703.27,360.40,Phase Missing
2017,June,3,248,6.55,3.1,60.67,31.09,Water Penetrate 
2017,June,0.75,204,2.1,1.9,6.24,3.20,Bearing Damage
2017,June,,200,,1.8,0.00,0.00,Water Penetrate 
2017,June,4,382,8.36,4.8,98.84,50.65,Water Penetrate 
2017,June,0.4,332,3,1.2,12.73,6.52,Over Load
2017,June,0.06,394,0.3,0.1,0.13,0.07,Insulation Weak
2017,July,0.18,293,0.7,0.2,0.69,0.36,Over Load
2017,July,1.8,241,10.9,5.2,168.02,86.10,Over Load
2017,July,,400,,1.2,0.00,0.00,Insulation Weak
2017,July,,391,,2,0.00,0.00,Water Penetrate 
2017,July,2.2,379,5.2,2.5,38.24,19.60,Over Load
2017,July,1.5,287,10,3,141.42,72.47,Phase Missing
2017,July,,240,,2.7,0.00,0.00,Phase Missing
2017,July,,352,,3,0.00,0.00,Water Penetrate 
2017,July,3,356,6.55,3.3,60.67,31.09,Water Penetrate 
2017,July,3,226,6.55,3.2,60.67,31.09,Water Penetrate 
2017,July,3,217,6.55,3.4,60.67,31.09,Water Penetrate 
2017,July,1.5,285,12,7,203.65,104.36,Over Load
2017,July,2.2,381,4.6,2.3,29.92,15.34,Water Penetrate 
2017,July,0.15,330,0.68,0.4,0.65,0.34,Bearing Jam
2017,July,3,286,6.55,3.3,60.67,31.09,Bearing Damage
2017,July,0.12,233,0.56,0.28,0.44,0.23,Insulation Weak
2017,July,0.12,286,0.56,0.28,0.44,0.23,Insulation Weak
2017,July,0.9,227,0.61,0.2,0.53,0.27,Bearing Jam
2017,July,0.75,289,4,1.7,22.63,11.60,Pump Jam
2017,July,1.1,339,2.13,1.8,6.42,3.29,Over Load
2017,July,0.75,324,2.1,1.1,6.24,3.20,Over Load
2017,July,,377,,0.3,0.00,0.00,Over load
2017,July,0.12,329,0.54,0.3,0.41,0.21,Bush Jam
2017,August,1.8,224,10.9,5.2,168.02,86.10,Over Load
2017,August,,207,,1.8,0.00,0.00,Phase Missing
2017,August,3.7,390,8,2.5,90.51,46.38,Phase Missing
2017,August,0.06,360,0.3,0.1,0.13,0.07,Insulation Weak
2017,August,,320,,0.1,0.00,0.00,Insulation Weak
2017,August,0.06,296,0.3,0.1,0.13,0.07,Insulation Weak
2017,August,3,256,6.55,3.3,60.67,31.09,Water Penetrate 
2017,August,0.75,258,6.5,4.9,59.75,30.62,Water Penetrate 
2017,August,3,257,6.55,3.3,60.67,31.09,Bearing Damage
2017,August,,347,,2.3,0.00,0.00,Water Penetrate 
2017,August,3,303,6.55,3.1,60.67,31.09,Water Penetrate 
2017,August,0.84,211,3.9,1.7,21.51,11.02,Water Penetrate 
2017,August,0.08,397,0.36,0.21,0.18,0.09,Insulation Weak
2017,August,0.26,386,3.6,1.6,18.33,9.39,Insulation Weak
2017,August,,322,,0.1,0.00,0.00,Insulation Weak
2017,August,,397,,0.8,0.00,0.00,Bearing Damage
2017,August,0.37,291,1.05,0.8,1.56,0.80,Phase Missing
2017,September,,269,,0.7,0.00,0.00,Insulation Weak
2017,September,3.7,285,8,2.8,90.51,46.38,Phase Missing
2017,September,3,375,5.1,3,36.78,18.85,Phase Missing
2017,September,0.15,216,0.68,0.4,0.65,0.34,Over Load
2017,September,2.2,244,5.5,4,42.78,21.92,Over Load
2017,September,0.15,222,0.68,0.4,0.65,0.34,Over Load
2017,September,0.08,201,0.36,0.21,0.18,0.09,Water Penetrater
2017,September,0.08,290,0.36,0.23,0.18,0.09,Water Penetrater
2017,September,0.08,370,0.36,0.21,0.18,0.09,Water Penetrater
